time,open,high,low,close,"ETHUSD, BITSTAMP: Open","ETHUSD, BITSTAMP: High","ETHUSD, BITSTAMP: Low","ETHUSD, BITSTAMP: Close",HV
1619913600,2948.92,2986,2855.29,2952.09,2949.03,2986.01,2853,2951.78,81.4505970888564
1620000000,2952.21,3457.75,2952.08,3433.99,2951.93,3457.64,2951.93,3430.16,90.7257136074216
1620086400,3433.99,3534.5,3166.12,3240.01,3434.32,3530,3167.66,3238.42,94.19765749369647
1620172800,3239.61,3550,3201.33,3529.97,3241.69,3559.97,3208.19,3528.2,97.2829601216543
1620259200,3529.96,3610.91,3381.11,3492.75,3529.26,3610.04,3380.01,3490.33,97.6331381082365
1620345600,3492.33,3595.07,3356.69,3484.7,3494.27,3595,3355.2,3483.81,92.60605877922244
1620432000,3484.69,3962.44,3455,3917.26,3486.27,3960,3452.75,3915,97.69789587518575
1620518400,3917.26,3984,3726.29,3928.44,3917.16,3985,3730.25,3928.05,97.3986066743139
1620604800,3928.41,4213.85,3650.01,3949.45,3929.72,4200,3655,3950.36,97.476375685586
1620691200,3949.45,4183.25,3760,4179.76,3947.86,4185,3775.74,4179.47,98.14471330152449
1620777600,4179.77,4384.43,3700,3826.37,4180.12,4380.64,3750,3810.19,104.85591090751966
1620864000,3826.37,4055.62,3525.62,3719.23,3802.47,4040.65,3543.62,3720.21,104.31528749603125
1620950400,3719.22,4177.77,3695,4080.51,3717.15,4178.11,3693,4080.31,106.75498368593792
1621036800,4080.51,4138,3632,3649.54,4079.79,4135.74,3629.61,3646.01,115.30864575849385
